"source","report_date","state_name","vaccination_status","cases_count"
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/yalevmocspecialreport-measlesoutbreaksouthwestus3-22-2025ver2-250323031228-de6e6134.pdf",2025-03-22,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/yalevmocspecialreport-measlesoutbreaksouthwestus3-22-2025ver2-250323031228-de6e6134.pdf",2025-03-22,"Oklahoma","Unvaccinated/Unknown",4
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/yalevmocspecialreport-measlesoutbreaksouthwestus3-26-2025final-250327203620-123257d9.pdf",2025-03-26,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/yalevmocspecialreport-measlesoutbreaksouthwestus3-26-2025final-250327203620-123257d9.pdf",2025-03-26,"Oklahoma","Unvaccinated/Unknown",9
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/yalevmocspecialreport-measlesoutbreaksouthwestus3-30-2025finalv2-250331134434-8c92ea20.pdf",2025-03-30,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/yalevmocspecialreport-measlesoutbreaksouthwestus3-30-2025finalv2-250331134434-8c92ea20.pdf",2025-03-30,"Oklahoma","Unvaccinated/Unknown",9
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-6-2025ver5-250407141433-524d6518.pdf",2025-04-06,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-6-2025ver5-250407141433-524d6518.pdf",2025-04-06,"Oklahoma","Unvaccinated/Unknown",10
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-8-2025finalver4-250409062206-05132729.pdf",2025-04-08,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-8-2025finalver4-250409062206-05132729.pdf",2025-04-08,"Oklahoma","Unvaccinated/Unknown",10
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/Ysph_Vmoc_Special_Report_Measles_Outbreak_Southwest_Us_4_12_2025_2300_Hrs_Vers2_Read_Only.pdf",2025-04-12,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/Ysph_Vmoc_Special_Report_Measles_Outbreak_Southwest_Us_4_12_2025_2300_Hrs_Vers2_Read_Only.pdf",2025-04-12,"Oklahoma","Unvaccinated/Unknown",12
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-17-2025-250419213011-3c05a648.pdf",2025-04-17,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-17-2025-250419213011-3c05a648.pdf",2025-04-17,"Oklahoma","Unvaccinated/Unknown",12
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-23-2025-250424154604-9c982625.pdf",2025-04-23,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-23-2025-250424154604-9c982625.pdf",2025-04-23,"Oklahoma","Unvaccinated/Unknown",13
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-26-2025-250427062639-014488c8.pdf",2025-04-26,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-26-2025-250427062639-014488c8.pdf",2025-04-26,"Oklahoma","Vaccinated with two doses",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-26-2025-250427062639-014488c8.pdf",2025-04-26,"Oklahoma","Unvaccinated/Unknown",14
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-30-2025-250501134802-4ad71097.pdf",2025-04-30,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-30-2025-250501134802-4ad71097.pdf",2025-04-30,"Oklahoma","Vaccinated with two doses",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-30-2025-250501134802-4ad71097.pdf",2025-04-30,"Oklahoma","Unvaccinated/Unknown",14
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-3-2025-250504043534-4e4acb03.pdf",2025-05-03,"Oklahoma","Vaccinated with at least one dose",0
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-3-2025-250504043534-4e4acb03.pdf",2025-05-03,"Oklahoma","Vaccinated with two doses",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-3-2025-250504043534-4e4acb03.pdf",2025-05-03,"Oklahoma","Unvaccinated/Unknown",15
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-7-2025ver1-250515161438-31ed14fc.pdf",2025-05-07,"Oklahoma","Vaccinated with at least one dose",0
