"source","data","state_name","cases_count"
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"Alaska",2
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"California",3
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"Georgia",3
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"Kentucky",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"New Mexico",9
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"New York",2
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"New Jersey",3
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"Pennsylvania",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"Rhode Island",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"Texas",163
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-4-20252200hrs-250305035331-e0563e21.pdf",2025-03-04,"Washington",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Alaska",2
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"California",5
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Florida",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Georgia",3
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Kentucky",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Maryland",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"New Mexico",33
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"New York",2
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"New Jersey",3
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Pennsylvania",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Rhode Island",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Texas",227
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-11,"Washington",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"Alaska",2
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"California",5
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"Florida",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"Georgia",3
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"Kansas",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"Kentucky",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"Maryland",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"Michigan",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"New Mexico",35
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"New York",3
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"New Jersey",3
