"source","report_date","municipality_name","cases_count","hospitalized_count","deaths_count","recovery_counts"
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-23-2025-250424154604-9c982625.pdf",2025-04-23,"Chihuahua",514,NA,NA,NA
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-26-2025-250427062639-014488c8.pdf",2025-04-26,"Chihuahua",605,NA,NA,NA
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus4-30-2025-250501134802-4ad71097.pdf",2025-04-30,"Chihuahua",786,4,1,NA
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-3-2025-250504043534-4e4acb03.pdf",2025-05-03,"Chihuahua",844,3,1,626
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-7-2025ver1-250515161438-31ed14fc.pdf",2025-05-07,"Chihuahua",954,3,1,780
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-10-2025-250515161946-f4b5dd43.pdf",2025-05-10,"Chihuahua",1041,2,1,872
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-14-2025-250515162314-0fee1888.pdf",2025-05-14,"Chihuahua",1192,0,1,1031
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-17-2025-250518160129-e8f3f91a.pdf",2025-05-17,"Chihuahua",1363,3,1,1145
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-25-2025-250526060518-915c3fd6.pdf",2025-05-25,"Chihuahua",1657,9,3,1392
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus5-30-2025-250531194434-8fadfb9e.pdf",2025-05-30,"Chihuahua",1740,4,3,1553
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus6-6-2025-250610012751-91b9080d.pdf",2025-06-06,"Chihuahua",1940,5,4,1811
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus6-14-2025-250616042928-b7a70c56.pdf",2025-06-14,"Chihuahua",2179,7,4,2020
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/YSPH%20VMOC%20Special%20Report%20-%20Measles%20Outbreak%20%20Southwest%20US%206-30-2025.pdf",2025-06-30,"Chihuahua",2752,6,8,2470
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/ysphvmocspecialreport-measlesoutbreaksouthwestus7-6-2025-250710022903-8e926c3d.pdf",2025-07-06,"Chihuahua",2922,5,8,2666
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/YSPH%20VMOC%20Special%20Report%20-%20Measles%20Outbreak%20%20Southwest%20US%207-13-2025.pdf",2025-07-13,"Chihuahua",3129,6,8,2921
