"source","data","municipality_name","cumulative_probable_cases_count","cumulative_confirmed_cases_count","deaths_count","incidence_cases","letality_rate","population"
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Chihuahua",2522,1434,3,"35.29","0.21",NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Sonora",82,30,1,"0.96","3.33",NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Zacatecas",63,13,0,"0.76",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Tamaulipas",62,7,0,"0.18",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Durango",49,7,0,"0.36",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Campeche",22,6,0,"0.63",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Coahuila",49,5,0,"0.15",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Oaxaca",39,4,0,"0.09",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Michoacan",39,3,0,"0.06",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Guerrero",26,3,0,"0.08",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Guanajuato",252,2,0,"0.03",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Queretaro",49,1,0,"0.04",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Sinaloa",21,1,0,"0.03",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"San Luis Potosi",48,1,0,"0.03",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Quintana Roo",19,1,0,"0.05",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Yucatan",13,1,0,"0.03",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORMEDIARIOSARAMPION_1952025.pdf",2025-05-19,"Tabasco",27,1,0,"0.04",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORME_DIARIO_SARAMPION__2052025.pdf",2025-05-20,"Chihuahua",2646,1490,3,"36.67","0.20",NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORME_DIARIO_SARAMPION__2052025.pdf",2025-05-20,"Sonora",92,30,1,"0.96","3.33",NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORME_DIARIO_SARAMPION__2052025.pdf",2025-05-20,"Zacatecas",69,13,0,"0.76",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORME_DIARIO_SARAMPION__2052025.pdf",2025-05-20,"Tamaulipas",63,9,0,"0.23",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORME_DIARIO_SARAMPION__2052025.pdf",2025-05-20,"Coahuila",51,8,0,"0.24",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORME_DIARIO_SARAMPION__2052025.pdf",2025-05-20,"Durango",50,7,0,"0.36",NA,NA
"https://github.com/fbranda/measles/blob/main/Americas/Mexico/bulletins/Gobierno_de_Mexico/INFORME_DIARIO_SARAMPION__2052025.pdf",2025-05-20,"Campeche",23,6,0,"0.63",NA,NA
