"source","report_date","state_name","vaccination_status","cases_count"
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-07,"New Mexico","Vaccinated with at least one dose",1
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-07,"New Mexico","Unvaccinated",27
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-11-20252300hrs-250312202530-b40ea42d.pdf",2025-03-07,"New Mexico","Unknown",5
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"New Mexico","Vaccinated with at least one dose",2
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"New Mexico","Unvaccinated",28
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-14-20252300hrs-250315234800-77d46371.pdf",2025-03-14,"New Mexico","Unknown",5
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-19-2025-250320055045-72d2058a.pdf",2025-03-19,"New Mexico","Vaccinated with at least one dose",4
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-19-2025-250320055045-72d2058a.pdf",2025-03-19,"New Mexico","Unvaccinated",29
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/vmoc-specialreport-westtxmeaslesoutbreak3-19-2025-250320055045-72d2058a.pdf",2025-03-19,"New Mexico","Unknown",5
"https://github.com/fbranda/measles/blob/main/USA/bulletins/Yale%20VMOC%20Special%20Report%20-%20Measles%20Outbreak/yalevmocspecialreport-measlesoutbreaksouthwestus3-22-2025ver2-250323031228-de6e6134.pdf",2025-03-22,"New Mexico","Vaccinated with at least one dose",4
